country_code;country_name;year;security_index;life_expectancy;co2_emissions;urban_population_in_slums;renewable_energy;
MNG;Mongolia;2020;26.20000;71.35;22.51;17.88;577190000;
MAR;Morocco;2020;82.41000;73.13;67.57;10.85;6194710000;
MOZ;Mozambique;2020;24.18000;61.39;7.98;54.96;136940000;
MMR;Myanmar;2020;36.41000;66.61;34.71;58.28;2722800000;
NAM;Namibia;2020;11.47000;64.07;3.88;41.40;174300000;
NRU;Nauru;2020;21.42000;61.53;0.00;0.60;2880000;
NPL;Nepal;2020;44.99000;69.11;16.46;40.28;288650000;
NLD;Netherlands;2020;97.05000;81.36;141.89;0.00;32693640000;
NZL;New Zealand;2020;84.04000;82.26;35.26;0.00;11554000000;
NIC;Nicaragua;2020;9.00000;70.77;4.73;5.52;2087990000;
NER;Niger;2020;11.36000;59.89;2.41;70.44;46090000;
NGA;Nigeria;2020;84.76000;53.07;122.13;48.98;298450000;
MKD;North Macedonia;2020;89.92000;74.40;7.59;0.15;277230000;
NOR;Norway;2020;96.89000;83.21;44.52;0.00;10289150000;
OMN;Oman;2020;96.04000;77.76;82.20;0.00;159780000;
PAK;Pakistan;2020;64.88000;65.70;222.47;55.97;12050880000;
PNG;Papua New Guinea;2020;26.33000;65.08;5.96;22.80;131760000;
PRY;Paraguay;2020;57.09000;72.72;7.94;15.10;255840000;
PER;Peru;2020;55.67000;73.83;47.52;43.73;3269430000;
PHL;Philippines;2020;77.00000;70.10;135.80;36.62;14573770000;
POL;Poland;2020;93.86000;76.40;296.88;3.70;26142960000;
PRT;Portugal;2020;97.32000;81.33;40.93;0.05;18017720000;
QAT;Qatar;2020;94.50000;80.41;115.29;0.00;142750000;
ROU;Romania;2020;76.29000;74.25;75.70;1.55;9225760000;
RUS;Russian Federation;2020;98.06000;71.34;1828.80;2.75;4379960000;
RWA;Rwanda;2020;79.95000;66.95;1.45;38.35;33440000;
WSM;Samoa;2020;29.33000;70.73;0.41;0.25;28310000;
STP;Sao Tome and Principe;2020;15.64000;67.98;0.18;52.60;350000;
SEN;Senegal;2020;35.85000;67.50;10.81;31.60;535930000;
SYC;Seychelles;2020;13.23000;77.24;1.13;51.94;13140000;
SLE;Sierra Leone;2020;25.31000;59.69;1.04;50.65;15420000;
SGP;Singapore;2020;98.52000;83.54;53.88;0.00;2179310000;
SVK;Slovak Republic;2020;92.36000;76.87;32.62;0.05;2340000000;
SLB;Solomon Islands;2020;7.08000;69.26;0.37;1.95;5990000;
SOM;Somalia;2020;17.25000;57.10;0.91;51.94;30460000;
ZAF;South Africa;2020;78.46000;65.15;418.77;24.20;8153800000;
LKA;Sri Lanka;2020;58.65000;76.93;22.16;50.43;819720000;
LCA;St. Lucia;2020;10.96000;72.31;0.25;0.45;10510000;
SDN;Sudan;2020;35.03000;65.12;21.35;73.70;131230000;
SUR;Suriname;2020;31.20000;72.32;2.60;15.80;-281530000;
SWE;Sweden;2020;94.59000;82.36;37.79;0.10;39754000000;
CHE;Switzerland;2020;86.97000;83.00;35.89;0.00;4735000000;
SYR;Syrian Arab Republic;2020;22.14000;71.94;25.57;25.58;54810000;
TZA;Tanzania;2020;90.58000;66.77;16.80;40.88;266610000;
TLS;Timor-Leste;2020;4.26000;66.92;0.65;33.90;560000;
TGO;Togo;2020;33.19000;61.12;2.22;38.50;14970000;
TON;Tonga;2020;20.95000;72.38;0.19;0.35;10500000;
TUN;Tunisia;2020;86.23000;75.00;28.71;7.64;617810000;
TUR;Turkiye;2020;97.50000;76.53;422.79;14.13;50254140000;
TKM;Turkmenistan;2020;14.48000;68.85;66.70;8.51;150000;
TUV;Tuvalu;2020;5.78000;66.36;0.00;0.89;1530000;
